site_name,query_status
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 3,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Outstanding <= 90 days
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Outstanding > 90 days
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 4,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Outstanding <= 90 days
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Outstanding > 90 days
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
Site 5,Resolved
